,Rank,Bank Name,Total Assets($),Toatal Assests in GBP,Total Assets in EUR,Toatal Assets in INR
0,1," Industrial and Commercial Bank of China
",6688.74,5083.44,5752.32,603591.9
1,2," Agricultural Bank of China
",5923.76,4502.06,5094.43,534560.1
2,3," China Construction Bank
",5558.38,4224.37,4780.21,501588.21
3,4," Bank of China
",4803.51,3650.67,4131.02,433468.74
4,5," JPMorgan Chase
",4002.81,3042.14,3442.42,361213.57
5,6," Bank of America
",3261.52,2478.76,2804.91,294319.56
6,7," HSBC
",2989.81,2272.26,2571.24,269800.45
7,8," BNP Paribas
",2809.83,2135.47,2416.45,253559.06
8,9," Crédit Agricole
",2693.58,2047.12,2316.48,243068.66
9,10," Mitsubishi UFJ Financial Group
",2628.12,1997.37,2260.18,237161.55
10,11," Postal Savings Bank of China
",2340.69,1778.92,2012.99,211223.87
11,12," Citigroup
",2151.95,1635.48,1850.68,194191.97
12,13," Bank of Communications
",2041.45,1551.5,1755.65,184220.45
13,14," SMBC Group
",1977.18,1502.66,1700.37,178420.72
14,15," Wells Fargo
",1929.85,1466.69,1659.67,174149.66
15,16," Banco Santander
",1901.94,1445.47,1635.67,171631.07
16,17," Barclays
",1900.67,1444.51,1634.58,171516.46
17,18," Mizuho Financial Group
",1805.52,1372.2,1552.75,162930.12
18,19," Goldman Sachs
",1675.97,1273.74,1441.33,151239.53
19,20," China Merchants Bank
",1664.87,1265.3,1431.79,150237.87
20,21," Groupe BPCE
",1646.53,1251.36,1416.02,148582.87
21,22," Société Générale
",1601.74,1217.32,1377.5,144541.02
22,23," UBS
",1563.32,1188.12,1344.46,141074.0
23,24," Japan Post Bank
",1546.95,1175.68,1330.38,139596.77
24,25," Royal Bank of Canada
",1513.86,1150.53,1301.92,136610.73
25,26," Toronto-Dominion Bank
",1446.51,1099.35,1244.0,130533.06
26,27," Industrial Bank
",1439.62,1094.11,1238.07,129911.31
27,28," Deutsche Bank
",1436.15,1091.47,1235.09,129598.18
28,29," China CITIC Bank
",1306.01,992.57,1123.17,117854.34
29,30," Shanghai Pudong Development Bank
",1296.31,985.2,1114.83,116979.01
30,31," Crédit Mutuel
",1252.1,951.6,1076.81,112989.5
31,32," Morgan Stanley
",1215.07,923.45,1044.96,109647.92
32,33," Lloyds Banking Group
",1135.12,862.69,976.2,102433.23
33,34," China Minsheng Bank
",1070.68,813.72,920.78,96618.16
34,35," ING Group
",1056.57,802.99,908.65,95344.88
35,36," Bank of Montreal
",1014.36,770.91,872.35,91535.85
36,37," Scotiabank
",978.47,743.64,841.48,88297.13
37,38," Intesa Sanpaolo
",966.23,734.33,830.96,87192.6
38,39," China Everbright Bank
",953.41,724.59,819.93,86035.72
39,40," NatWest Group
",886.34,673.62,762.25,79983.32
40,41," ANZ Group
",852.19,647.66,732.88,76901.63
41,42," Standard Chartered
",849.69,645.76,730.73,76676.03
42,43," State Bank of India
",846.64,643.45,728.11,76400.79
43,44," UniCredit
",811.68,616.88,698.04,73246.0
44,45," Commonwealth Bank
",809.81,615.46,696.44,73077.25
45,46," Banco Bilbao Vizcaya Argentaria
",799.67,607.75,687.72,72162.22
46,47," Ping An Bank
",790.41,600.71,679.75,71326.6
47,48," La Banque postale
",766.91,582.85,659.54,69205.96
48,49," National Australia Bank
",748.98,569.22,644.12,67587.96
49,50," Canadian Imperial Bank of Commerce
",747.91,568.41,643.2,67491.4
50,51," Westpac
",747.1,567.8,642.51,67418.3
51,52," DZ Bank
",682.93,519.03,587.32,61627.6
52,53," U.S. Bancorp
",678.32,515.52,583.36,61211.6
53,54," CaixaBank
",653.28,496.49,561.82,58951.99
54,55," Rabobank
",651.47,495.12,560.26,58788.65
55,56," Nordea
",645.36,490.47,555.01,58237.29
56,57," Capital One
",637.78,484.71,548.49,57553.27
57,58," DBS Group
",606.13,460.66,521.27,54697.17
58,59," Huaxia Bank
",599.59,455.69,515.65,54107.0
59,60," Commerzbank
",574.23,436.41,493.84,51818.52
60,61," Bank of Beijing
",574.14,436.35,493.76,51810.39
61,62," Norinchukin Bank
",560.75,426.17,482.24,50602.08
62,63," PNC Financial Services
",560.04,425.63,481.63,50538.01
63,64," Sberbank of Russia
",557.48,423.68,479.43,50307.0
64,65," Bank of Jiangsu
",541.41,411.47,465.61,48856.84
65,66," Truist Financial Corp
",531.18,403.7,456.81,47933.68
66,67," Danske Bank
",515.87,392.06,443.65,46552.11
67,68," KB Financial Group
",513.01,389.89,441.19,46294.02
68,69," Shinhan Financial Group
",500.77,380.59,430.66,45189.48
69,70," Nationwide Building Society
",498.77,379.07,428.94,45009.0
70,71," Sumitomo Mitsui Trust Holdings
",498.16,378.6,428.42,44953.96
71,72," China Guangfa Bank
",494.93,376.15,425.64,44662.48
72,73," HDFC Bank
",494.06,375.49,424.89,44583.97
73,74," Itaú Unibanco
",492.9,374.6,423.89,44479.3
74,75," Resona Holdings
",491.13,373.26,422.37,44319.57
75,76," Charles Schwab Corporation
",479.84,364.68,412.66,43300.76
76,77," Oversea-Chinese Banking Corporation
",458.0,348.08,393.88,41329.92
77,78," China Zheshang Bank
",455.61,346.26,391.82,41114.25
78,79," Bank of Shanghai
",442.06,335.97,380.17,39891.49
79,80," Hana Financial Group
",431.78,328.15,371.33,38963.83
80,81," Bank of Ningbo
",428.16,325.4,368.22,38637.16
81,82," Nonghyup Bank
",419.37,318.72,360.66,37843.95
82,83," BNY Mellon
",416.06,316.21,357.81,37545.25
83,84," ABN AMRO
",411.66,312.86,354.03,37148.2
84,85," United Overseas Bank
",393.97,299.42,338.81,35551.85
85,86," Banco do Brasil
",393.52,299.08,338.43,35511.24
86,87," Woori Financial Group
",393.34,298.94,338.27,35495.0
87,88," KBC Group
",386.22,293.53,332.15,34852.49
88,89," Nomura Holdings
",385.0,292.6,331.1,34742.4
89,90," Landesbank Baden-Württemberg
",368.98,280.42,317.32,33296.76
90,91," Erste Group
",366.22,278.33,314.95,33047.69
91,92," National Bank of Canada
",365.25,277.59,314.12,32960.16
92,93," State Street Corporation
",362.95,275.84,312.14,32752.61
93,94," Qatar National Bank
",356.52,270.96,306.61,32172.36
94,95," Bank of Nanjing
",355.03,269.82,305.33,32037.91
95,96," SEB Group
",339.65,258.13,292.1,30650.02
96,97," Raiffeisen Group
",337.25,256.31,290.03,30433.44
97,98," Banco Bradesco
",331.96,252.29,285.49,29956.07
98,99," VTB Bank
",330.43,251.13,284.17,29818.0
99,100," First Abu Dhabi Bank
",330.32,251.04,284.08,29808.08
